,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
0,2014-06-23,Open Position,upper,1421.6662667941052,681.1988959206127,35.16999816894531,73.4000015258789
1,2014-07-08,Close Position,upper,1428.9796399401291,681.7562380238057,34.9900016784668,73.33999633789062
2,2014-07-09,Open Position,lower,1412.0305059434836,680.7352222932476,35.40999984741211,73.44999694824219
3,2014-07-16,Close Position,lower,1400.952701706802,664.0988098286542,35.689998626708984,75.29000091552734
4,2014-07-17,Open Position,upper,1424.5014864278282,657.8947368421053,35.099998474121094,76.0
5,2014-07-23,Close Position,upper,1422.4750449352869,675.8583094240138,35.150001525878906,73.9800033569336
6,2014-07-24,Open Position,lower,1423.2848983708432,675.8583094240138,35.130001068115234,73.9800033569336
7,2014-07-31,Close Position,lower,1433.486194635079,634.5177419239279,34.880001068115234,78.80000305175781
8,2014-08-01,Open Position,upper,1445.0867689314282,625.0,34.599998474121094,80.0
9,2014-08-13,Close Position,upper,1456.0279492669704,671.1409395973154,34.34000015258789,74.5
10,2014-08-14,Open Position,lower,1466.2757254357537,671.1409395973154,34.099998474121094,74.5
11,2014-08-18,Close Position,lower,1465.416224068974,645.1612903225806,34.119998931884766,77.5
12,2014-08-19,Open Position,upper,1467.1360714082634,640.6149653427069,34.08000183105469,78.05000305175781
13,2014-08-20,Close Position,upper,1466.7057722557483,680.2721088435375,34.09000015258789,73.5
14,2014-08-21,Open Position,lower,1439.677531213132,680.2721088435375,34.72999954223633,73.5
15,2014-10-24,Close Position,lower,1609.2694075027373,869.5652173913044,31.06999969482422,57.5
16,2014-10-27,Open Position,upper,1622.3231828388625,869.5652173913044,30.81999969482422,57.5
17,2014-11-06,Close Position,upper,1579.2798560005995,896.8609865470852,31.65999984741211,55.75
18,2014-11-07,Open Position,lower,1581.2776303902276,896.0573599218192,31.6200008392334,55.79999923706055
19,2014-11-11,Close Position,lower,1612.3830903242438,838.9261959748286,31.010000228881836,59.599998474121094
20,2014-11-12,Open Position,upper,1603.0778821373533,838.9261959748286,31.190000534057617,59.599998474121094
21,2014-11-19,Close Position,upper,1606.1677272068616,890.947985595779,31.1299991607666,56.119998931884766
22,2014-11-20,Open Position,lower,1604.6213172286837,887.3114703448067,31.15999984741211,56.349998474121094
23,2014-11-24,Close Position,lower,1578.2828130791133,858.3690987124463,31.68000030517578,58.25
24,2014-11-25,Open Position,lower,1572.8215967297522,871.8396047135425,31.790000915527344,57.349998474121094
25,2014-11-28,Close Position,lower,1649.076533748622,899.9279835157845,30.31999969482422,55.560001373291016
26,2014-12-01,Open Position,lower,1638.8069362473568,899.9279835157845,30.510000228881836,55.560001373291016
27,2014-12-02,Close Position,lower,1625.4876341988104,892.8571428571429,30.760000228881836,56.0
28,2014-12-03,Open Position,upper,1613.9445041576876,892.8571428571429,30.979999542236328,56.0
29,2014-12-11,Close Position,upper,1663.3400162448238,896.8609865470852,30.059999465942383,55.75
30,2014-12-12,Open Position,lower,1704.1581370131596,925.0693932612754,29.34000015258789,54.04999923706055
31,2014-12-16,Close Position,lower,1731.9015776422013,877.1929824561404,28.8700008392334,57.0
32,2014-12-17,Open Position,upper,1677.2895302170161,877.1929824561404,29.809999465942383,57.0
33,2014-12-18,Close Position,upper,1658.925050183394,925.925925925926,30.139999389648438,54.0
34,2014-12-19,Open Position,upper,1648.5328099496562,881.0572687224669,30.329999923706055,56.75
35,2014-12-22,Close Position,upper,1655.6290972468623,891.2656213897221,30.200000762939453,56.099998474121094
36,2014-12-23,Open Position,lower,1653.9861315625128,891.2656213897221,30.229999542236328,56.099998474121094
37,2014-12-26,Close Position,lower,1648.5328099496562,869.5652173913044,30.329999923706055,57.5
38,2014-12-29,Open Position,upper,1664.4473527347848,869.5652173913044,30.040000915527344,57.5
39,2015-01-06,Close Position,upper,1734.9063334299583,904.6498929959135,28.81999969482422,55.27000045776367
40,2015-01-07,Open Position,upper,1717.622774017391,889.679703224702,29.110000610351562,56.20000076293945
41,2015-01-14,Close Position,upper,1652.892561983471,868.8097421867807,30.25,57.54999923706055
42,2015-01-15,Open Position,lower,1650.165058052014,896.8609865470852,30.299999237060547,55.75
43,2015-03-20,Close Position,lower,1455.1804165258545,981.9324783576604,34.36000061035156,50.91999816894531
44,2015-03-23,Open Position,upper,1448.8554746988063,990.0990099009902,34.5099983215332,50.5
45,2015-03-24,Close Position,upper,1469.2918540572775,1010.10101010101,34.029998779296875,49.5
46,2015-03-25,Open Position,lower,1474.491307136229,1010.10101010101,33.90999984741211,49.5
47,2015-03-26,Close Position,lower,1490.3129996130726,1010.10101010101,33.54999923706055,49.5
48,2015-03-27,Open Position,upper,1494.3216188909832,1010.10101010101,33.459999084472656,49.5
49,2015-03-30,Close Position,upper,1485.0015657594024,1010.10101010101,33.66999816894531,49.5
50,2015-03-31,Open Position,upper,1526.2516044494091,1010.10101010101,32.7599983215332,49.5
51,2015-04-06,Close Position,upper,1474.491307136229,1010.10101010101,33.90999984741211,49.5
52,2015-04-07,Open Position,lower,1481.0427276623532,1010.10101010101,33.7599983215332,49.5
53,2015-04-17,Close Position,lower,1421.2620683986709,947.6876723021662,35.18000030517578,52.7599983215332
54,2015-04-20,Open Position,upper,1428.1634503606092,947.6876723021662,35.0099983215332,52.7599983215332
55,2015-05-01,Close Position,upper,1461.1337877378555,925.925925925926,34.220001220703125,54.0
56,2015-05-04,Open Position,upper,1460.2803022478972,890.4719259349541,34.2400016784668,56.150001525878906
57,2015-05-07,Close Position,upper,1461.56098620576,952.3809523809524,34.209999084472656,52.5
58,2015-05-08,Open Position,lower,1413.6274105150403,925.925925925926,35.369998931884766,54.0
59,2015-05-15,Close Position,lower,1428.5714285714287,925.925925925926,35.0,54.0
60,2015-05-18,Open Position,lower,1420.454514667023,952.9254590577647,35.20000076293945,52.470001220703125
61,2015-05-19,Close Position,lower,1434.308638111517,952.9254590577647,34.86000061035156,52.470001220703125
62,2015-05-20,Open Position,upper,1443.001379456122,952.9254590577647,34.650001525878906,52.470001220703125
63,2015-05-28,Close Position,upper,1445.5044746872945,956.9377990430622,34.59000015258789,52.25
64,2015-05-29,Open Position,upper,1461.1337877378555,956.9377990430622,34.220001220703125,52.25
